working on it
12 97 457
30 97 457
52 97 457
76 97 457
144 195 457
177 195 457
208 441 457
232 441 457
252 441 457
283 441 457
349 441 457
371 441 457
423 441 457
464 383 915
499 1050 915
524 1050 915
545 1050 915
557 1050 915
578 1050 915
603 1050 915
620 1050 915
631 1050 915
645 1050 915
695 1050 915
720 1050 915
770 1050 915
785 1050 915
809 1050 915
827 1050 915
865 1050 915
900 1050 915
925 1050 1299
940 1050 1299
975 1050 1299
987 1050 1299
1008 1050 1299
1025 1050 1299
1046 1050 1299
1070 1136 1299
1114 1136 1299
1129 1136 1299
1152 1468 1299
1175 1468 1299
1199 1468 1299
1212 1468 1299
1241 1468 1299
1258 1468 1299
1292 1468 1299
1307 1468 1242
1319 1468 1402
1376 1468 1402
1388 1468 1402
1408 1468 3235
1421 1468 3235
1439 1468 3235
1469 1798 3235
1481 1798 3235
1506 1798 3235
1548 1798 3235
1585 1798 3235
1627 1798 3235
1646 1798 3235
1675 1798 3235
1687 1798 3235
1718 1798 3235
1733 1798 3235
1751 1798 3235
1763 1798 3235
1806 1828 3235
1839 2513 3235
1870 2513 3235
1896 2513 3235
1912 2513 3235
1929 2513 3235
1950 2513 3235
1972 2513 3235
2000 2513 3235
2044 2513 3235
2066 2513 3235
2093 2513 3235
2106 2513 3235
2160 2513 3235
2191 2513 3235
2203 2513 3235
2219 2513 3235
2240 2513 3235
2253 2513 3235
2280 2513 3235
2294 2513 3235
2308 2513 3235
2341 2513 3235
2367 2513 3235
2403 2513 3235
2433 2513 3235
2446 2513 3235
2481 2513 3235
2513 2671 3235
2539 2671 3235
2568 2671 3235
2593 2671 3235
2620 2671 3235
2667 2671 3235
2737 3477 3235
2751 3477 3235
2764 3477 3235
2786 3477 3235
2805 3477 3235
2828 3477 3235
2848 3477 3235
2877 3477 3235
2909 3477 3235
2947 3477 3235
2962 3477 3235
3015 3477 3235
3047 3477 3235
3071 3477 3235
3084 3477 3235
3095 3477 3235
3122 3477 3235
3149 3477 3235
3163 3477 3235
3188 3477 3235
3220 3477 3235
3241 3477 3183
3276 3477 5834
3313 3477 5834
3348 3477 5834
3373 3477 5834
3406 3477 5834
3423 3477 5834
3442 3477 5834
3468 3477 5834
3488 3868 5834
3522 3868 5834
3549 3868 5834
3575 3868 5834
3601 3868 5834
3637 3868 5834
3673 3868 5834
3703 3868 5834
3726 3868 5834
3757 3868 5834
3771 3868 5834
3784 3868 5834
3796 3868 5834
3809 3868 5834
3854 3868 5834
3871 5214 5834
3895 5214 5834
3931 5214 5834
3949 5214 5834
3968 5214 5834
4003 5214 5834
4031 5214 5834
4049 5214 5834
4082 5214 5834
4104 5214 5834
4123 5214 5834
4161 5214 5834
4187 5214 5834
4228 5214 5834
4241 5214 5834
4285 5214 5834
4314 5214 5834
4354 5214 5834
4374 5214 5834
4405 5214 5834
4441 5214 5834
4464 5214 5834
4484 5214 5834
4502 5214 5834
4535 5214 5834
4552 5214 5834
4566 5214 5834
4593 5214 5834
4656 5214 5834
4690 5214 5834
4714 5214 5834
4754 5214 5834
4769 5214 5834
4822 5214 5834
4866 5214 5834
4877 5214 5834
4889 5214 5834
4918 5214 5834
4980 5214 5834
4994 5214 5834
5033 5214 5834
5074 5214 5834
5121 5214 5834
5173 5214 5834
5186 5214 5834
5254 4790 5834
5278 4824 5834
5311 4920 5834
5352 4899 5834
5371 5011 5834
5397 5243 5834
5419 7941 5834
5455 7941 5834
5500 7941 5834
5510 7941 5834
5526 7941 5834
5566 7941 5834
5622 7941 5834
5648 7941 5834
5665 7941 5834
5683 7941 5834
5722 7941 5834
5760 7941 5834
5772 7941 5834
5784 7941 5834
5800 7941 5834
5826 7941 5834
5844 7941 6395
5870 7941 6395
5908 7941 6395
5923 7941 6395
5950 7941 6395
5975 7941 6395
5987 7941 6395
6023 7941 6395
6049 7941 6395
6096 7941 6395
6132 7941 6395
6177 7941 6395
6194 7941 6395
6216 7941 6395
6249 7941 6395
6271 7941 6395
6292 7941 6395
6330 7941 6395
6385 7941 6395
6415 7941 5847
6449 7941 5898
6497 7941 6402
6541 7941 6215
6561 7941 6468
6585 7941 6840
6598 7941 6840
6611 7941 6840
6636 7941 6840
6661 7941 6840
6688 7941 6840
6723 7941 6840
6735 7941 6840
6783 7941 6840
6811 7941 6840
6834 7941 6840
6870 7941 7653
6881 7941 7653
6901 7941 7653
6921 7941 7653
6955 7941 7653
7005 7941 7653
7025 7941 7653
7053 7941 7653
7078 7941 7653
7091 7941 7653
7134 7941 7653
7156 7941 7653
7171 7941 7653
7213 7941 7653
7225 7941 7653
7256 7941 7653
7267 7941 7653
7295 7941 7653
7334 7941 7653
7360 7941 7653
7395 7941 7653
7407 7941 7653
7420 7941 7653
7439 7941 7653
7451 7941 7653
7496 7941 7653
7550 7941 7653
7600 7941 7653
7622 7941 7653
7634 7941 7653
7656 7941 9245
7669 7941 9245
7689 7941 9245
7725 7941 9245
7744 7941 9245
7757 7941 9245
7791 7941 9245
7826 7941 9245
7846 7941 9245
7898 7941 9245
7920 7941 9245
7944 7008 9245
7956 7335 9245
8005 7444 9245
8016 7728 9245
8060 10801 9245
8077 10801 9245
8094 10801 9245
8126 10801 9245
8138 10801 9245
8196 10801 9245
8210 10801 9245
8236 10801 9245
8252 10801 9245
8266 10801 9245
8291 10801 9245
8303 10801 9245
8336 10801 9245
8349 10801 9245
8362 10801 9245
8373 10801 9245
8405 10801 9245
8417 10801 9245
8449 10801 9245
8477 10801 9245
8493 10801 9245
8505 10801 9245
8517 10801 9245
8553 10801 9245
8570 10801 9245
8602 10801 9245
8625 10801 9245
8682 10801 9245
8710 10801 9245
8755 10801 9245
8797 10801 9245
8871 10801 9245
8932 10801 9245
8960 10801 9245
8973 10801 9245
8996 10801 9245
9034 10801 9245
9046 10801 9245
9091 10801 9245
9114 10801 9245
9130 10801 9245
9164 10801 9245
9185 10801 9245
9209 10801 9245
9234 10801 9245
9246 10801 9313
9272 10801 9313
9306 10801 9313
9348 10801 8938
9363 10801 10306
9378 10801 10306
9406 10801 10306
9420 10801 10306
9475 10801 10306
9503 10801 10306
9523 10801 10306
9541 10801 10306
9560 10801 10306
9589 10801 10306
9613 10801 10306
9635 10801 10306
9666 10801 10306
9684 10801 10306
9707 10801 10306
9744 10801 10306
9766 10801 10306
9779 10801 10306
9799 10801 10306
9811 10801 10306
9824 10801 10306
9854 10801 10306
9867 10801 10306
9890 10801 10306
9916 10801 10306
9931 10801 10306
9953 10801 10306
